INFO 2019-08-18 13:12:16:852 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-activemq-5.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:16:947 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-canal-1.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:022 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-dubbo-2.7.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:090 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-dubbo-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:152 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-elastic-job-2.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:319 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-elasticsearch-5.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:417 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-feign-default-http-9.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:601 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-grpc-1.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:718 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-h2-1.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:843 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-httpasyncclient-4.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:17:941 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-httpClient-4.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:18:088 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-hystrix-1.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:18:202 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-jdbc-commons-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:18:423 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-jedis-2.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:18:554 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-jetty-client-9.0-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:18:630 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-jetty-client-9.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:18:720 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-jetty-server-9.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:18:859 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-kafka-v1-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:19:001 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-mongodb-2.x-plugin-6.2.0.jar loaded. 
INFO 2019-08-18 13:12:19:074 main AgentClassLoader :  D:\Work\ider\my-study\sunny-spring-cloud-alibaba\sunny-spring-cloud-external-skywalking\agent\plugins\apm-mongodb-3.x-plugin-6.2.0.jar loaded. 
